,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
0,EGRNF,China Evergrande Group,0.0400,+0.0100,+33.33%,"35,871","43,612",2.775B,0.17,10/03/2023 15:31:27
1,ASAN,"Asana, Inc.",21.17,+3.37,+18.93%,3.293M,27.399M,4.504B,N/A,10/03/2023 15:31:27
2,DNPLY,"Dai Nippon Printing Co., Ltd.",15.61,+1.89,+13.78%,"35,366","25,485",8.296B,12.49,10/03/2023 15:31:27
3,HCM,HUTCHMED (China) Limited,15.11,+1.54,+11.35%,"292,866","486,829",2.613B,N/A,10/03/2023 15:31:27
4,GOL,Gol Linhas A̩reas Inteligentes S.A.,3.1600,+0.2400,+8.22%,1.604M,5.18M,5.055B,N/A,10/03/2023 15:31:27
5,NARI,"Inari Medical, Inc.",57.85,+3.76,+6.95%,"798,742",1.591M,3.142B,N/A,10/03/2023 15:31:27
6,NVEI,Nuvei Corporation,38.77,+2.36,+6.48%,"371,162",1.043M,5.502B,84.28,10/03/2023 15:31:27
7,GE,General Electric Company,91.56,+4.58,+5.27%,7.616M,28.44M,99.735B,172.75,10/03/2023 15:31:27
8,STAA,STAAR Surgical Company,60.99,+2.60,+4.45%,"797,467",1.558M,2.942B,78.19,10/03/2023 15:31:27
9,NPNYY,Nippon Yusen Kabushiki Kaisha,5.47,+0.22,+4.29%,"59,410","20,114",13.861B,1.54,10/03/2023 15:31:27
10,AHKSY,Asahi Kasei Corporation,14.20,+0.56,+4.11%,"171,459","65,282",9.947B,15.43,10/03/2023 15:31:27
11,TTNDY,Techtronic Industries Company Limited,52.71,+1.95,+3.84%,"50,488","64,018",19.417B,16.79,10/03/2023 15:31:27
12,UBSFY,Ubisoft Entertainment SA,4.7800,+0.1600,+3.46%,"112,289","126,576",2.99B,N/A,10/03/2023 15:31:27
13,LFST,"LifeStance Health Group, Inc.",5.79,+0.19,+3.39%,"475,859","952,416",2.177B,N/A,10/03/2023 15:31:27
14,AJINY,"Ajinomoto Co., Inc.",32.70,+1.02,+3.22%,"9,818","17,053",17.554B,34.06,10/03/2023 15:31:27
